user_id,assigned_perk,life_total_trips,assignment_reason
23557,Free Hotel Meals,3,tier3_high_hotel_discount
94883,Premium Travel Benefits,3,tier3_high_value_loyal
101486,Free Checked Bags,3,tier3_near_exclusive_intl
101961,Premium Travel Benefits,7,tier3_high_value_loyal
106907,No Change Fees,2,tier_2_two_trip_high_cancel
118043,Free Hotel Meals,5,tier3_high_hotel_discount
120851,Free Checked Bags,3,tier3_near_exclusive_intl
125845,Premium Travel Benefits,4,tier3_high_value_loyal
133058,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
149058,Premium Travel Benefits,5,tier3_high_value_loyal
152583,Exclusive Discounts,1,tier_1_single_trip_default
153982,Premium Travel Benefits,4,tier3_high_value_loyal
160754,Exclusive Discounts,1,tier_1_single_trip_default
164522,Exclusive Discounts,1,tier_1_single_trip_default
167852,Exclusive Discounts,0,tier_0_never_booked
171470,Exclusive Discounts,0,tier_0_never_booked
174997,No Change Fees,2,tier_2_two_trip_high_cancel
175032,Premium Travel Benefits,4,tier3_high_value_loyal
181157,Premium Travel Benefits,3,tier3_high_value_loyal
182191,Exclusive Discounts,0,tier_0_never_booked
187212,Premium Travel Benefits,3,tier3_high_value_loyal
189676,Exclusive Discounts,2,tier_2_two_trip_default
190866,Premium Travel Benefits,6,tier3_high_value_loyal
195192,Premium Travel Benefits,4,tier3_high_value_loyal
204943,No Change Fees,8,tier3_high_cancel_spend
204997,No Change Fees,2,tier_2_two_trip_high_cancel
205044,Free Checked Bags,4,tier3_near_exclusive_intl
206011,Premium Travel Benefits,4,tier3_high_value_loyal
216796,Exclusive Discounts,0,tier_0_never_booked
217114,Exclusive Discounts,0,tier_0_never_booked
217136,Exclusive Discounts,2,tier_2_two_trip_default
220725,Premium Travel Benefits,3,tier3_high_value_loyal
224996,Exclusive Discounts,2,tier_2_two_trip_default
226367,Premium Travel Benefits,4,tier3_high_value_loyal
228195,Exclusive Discounts,0,tier_0_never_booked
228872,Premium Travel Benefits,4,tier3_high_value_loyal
229009,No Change Fees,2,tier_2_two_trip_high_cancel
229108,No Change Fees,1,tier_1_single_trip_high_cancel
229330,Premium Travel Benefits,5,tier3_high_value_loyal
232647,Exclusive Discounts,2,tier_2_two_trip_default
249521,Free Hotel Meals,5,tier3_high_hotel_discount
252835,Premium Travel Benefits,8,tier3_high_value_loyal
258451,No Change Fees,1,tier_1_single_trip_high_cancel
264470,Exclusive Discounts,2,tier_2_two_trip_default
276512,Exclusive Discounts,1,tier_1_single_trip_default
281952,Free Hotel Meals,5,tier3_high_hotel_discount
283325,Free Checked Bags,5,tier3_near_exclusive_intl
290123,Premium Travel Benefits,8,tier3_high_value_loyal
297546,Premium Travel Benefits,8,tier3_high_value_loyal
298253,Premium Travel Benefits,3,tier3_high_value_loyal
299476,Exclusive Discounts,2,tier_2_two_trip_default
306165,Exclusive Discounts,0,tier_0_never_booked
306819,Exclusive Discounts,1,tier_1_single_trip_default
312488,Premium Travel Benefits,3,tier3_high_value_loyal
313724,Free Checked Bags,6,tier3_near_exclusive_intl
316527,Premium Travel Benefits,4,tier3_high_value_loyal
317688,Premium Travel Benefits,6,tier3_high_value_loyal
322867,Premium Travel Benefits,3,tier3_high_value_loyal
324191,Premium Travel Benefits,4,tier3_high_value_loyal
